Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
generic|con_CATG_HUMAN|CATG_HUMAN	generic|con_CATG_HUMAN|CATG_HUMAN	generic|con_CATG_HUMAN|CATG_HUMAN		255			generic|con_CATG_HUMAN|CATG_HUMAN	1	0.9862	3	6	6	6	1	3	2	1	3	2	1	3	2	2.50E+07	5.78E+07	6.68E+07	1.03E+07	2.52E+07	2.77E+07	
generic|con_CYC_HUMAN|CYC_HUMAN	generic|con_CYC_HUMAN|CYC_HUMAN	generic|con_CYC_HUMAN|CYC_HUMAN		104			generic|con_CYC_HUMAN|CYC_HUMAN	1	0.999	3	5	0	5	3	0	2	0	0	0	3	0	2	3.63E+07	2.27E+07	3.24E+07	1.99E+07	1.31E+07	1.72E+07	"sp|P99999|CYC_HUMAN, tr|C9JFR7|C9JFR7_HUMAN"
generic|con_GELS_HUMAN|GELS_HUMAN	generic|con_GELS_HUMAN|GELS_HUMAN	generic|con_GELS_HUMAN|GELS_HUMAN		782			generic|con_GELS_HUMAN|GELS_HUMAN	1	0.999	22	30	1	30	23	5	2	1	0	0	23	5	2	4.23E+08	1.58E+08	2.65E+08	4.83E+07	5.07E+07	5.29E+07	
generic|con_GSTP1_HUMAN|GSTP1_HUMAN	generic|con_GSTP1_HUMAN|GSTP1_HUMAN	generic|con_GSTP1_HUMAN|GSTP1_HUMAN		209			generic|con_GSTP1_HUMAN|GSTP1_HUMAN	1	0.999	10	18	0	18	10	3	5	0	0	0	10	3	5	1.31E+09	1.10E+09	7.89E+08	5.33E+08	4.53E+08	3.00E+08	sp|P09211|GSTP1_HUMAN
generic|con_HBA_HUMAN|HBA_HUMAN	generic|con_HBA_HUMAN|HBA_HUMAN	generic|con_HBA_HUMAN|HBA_HUMAN		141			generic|con_HBA_HUMAN|HBA_HUMAN	1	0.999	7	14	0	14	7	2	5	0	0	0	7	2	5	9.00E+08	1.63E+09	3.23E+09	3.38E+08	5.36E+08	1.07E+09	sp|P69905|HBA_HUMAN
generic|con_HBB_HUMAN|HBB_HUMAN	generic|con_HBB_HUMAN|HBB_HUMAN	generic|con_HBB_HUMAN|HBB_HUMAN		146			generic|con_HBB_HUMAN|HBB_HUMAN	1	0.999	11	31	0	31	15	7	9	0	0	0	15	7	9	8.46E+08	1.54E+09	2.76E+09	2.81E+08	4.84E+08	8.92E+08	sp|P68871|HBB_HUMAN
generic|con_K1C10_HUMAN|K1C10_HUMAN	generic|con_K1C10_HUMAN|K1C10_HUMAN	generic|con_K1C10_HUMAN|K1C10_HUMAN		593			generic|con_K1C10_HUMAN|K1C10_HUMAN	1	0.999	60	2	0	292	2	0	0	0	0	0	158	65	69	2.33E+08	4.56E+08	8.26E+08	2.96E+08	3.79E+08	7.18E+08	
generic|con_K1C15_SHEEP|K1C15_SHEEP	generic|con_K1C15_SHEEP|K1C15_SHEEP	generic|con_K1C15_SHEEP|K1C15_SHEEP		453			generic|con_K1C15_SHEEP|K1C15_SHEEP	1	0.999	21	25	19	90	16	4	5	10	4	5	58	13	19	1.09E+10	2.04E+10	2.73E+10	6.73E+09	7.10E+09	1.50E+10	
generic|con_K1H6_HUMAN|K1H6_HUMAN	generic|con_K1H6_HUMAN|K1H6_HUMAN	generic|con_K1H6_HUMAN|K1H6_HUMAN		467			generic|con_K1H6_HUMAN|K1H6_HUMAN	1	0.9956	4	3	1	4	3	0	0	1	0	0	4	0	0	9620860	9448646	1.46E+07	4319977	5666033	6288793.5	
generic|con_K1HB_HUMAN|K1HB_HUMAN	generic|con_K1HB_HUMAN|K1HB_HUMAN	generic|con_K1HB_HUMAN|K1HB_HUMAN		404			generic|con_K1HB_HUMAN|K1HB_HUMAN	0.9999	0.9957	5	1	1	6	1	0	0	1	0	0	5	0	1	4275243.5	0	0	0	0	0	
generic|con_K22E_HUMAN|K22E_HUMAN	generic|con_K22E_HUMAN|K22E_HUMAN	generic|con_K22E_HUMAN|K22E_HUMAN		645			generic|con_K22E_HUMAN|K22E_HUMAN	1	0.999	79	3	3	288	1	1	1	1	1	1	147	71	70	4.94E+07	1.36E+08	5.78E+07	0	0	0	
generic|con_KRHB4_HUMAN|KRHB4_HUMAN	generic|con_KRHB4_HUMAN|KRHB4_HUMAN	generic|con_KRHB4_HUMAN|KRHB4_HUMAN		600			generic|con_KRHB4_HUMAN|KRHB4_HUMAN	1	0.999	11	9	0	22	7	1	1	0	0	0	14	4	4	2.07E+08	4.35E+08	3.50E+08	1.70E+08	2.24E+08	2.66E+08	sp|Q9NSB2|KRT84_HUMAN
generic|con_KRHB6_HUMAN|KRHB6_HUMAN	generic|con_KRHB6_HUMAN|KRHB6_HUMAN	generic|con_KRHB6_HUMAN|KRHB6_HUMAN		486			generic|con_KRHB6_HUMAN|KRHB6_HUMAN	1	0.997	9	9	0	13	7	1	1	0	0	0	9	2	2	5.58E+07	5.28E+07	5.40E+07	1.38E+07	1.80E+07	2.43E+07	
generic|con_LYSC_HUMAN|LYSC_HUMAN	generic|con_LYSC_HUMAN|LYSC_HUMAN	generic|con_LYSC_HUMAN|LYSC_HUMAN		148			generic|con_LYSC_HUMAN|LYSC_HUMAN	1	0.999	6	15	1	15	12	2	1	1	0	0	12	2	1	1.59E+10	1.42E+10	2.00E+10	1.22E+10	1.25E+10	1.29E+10	
generic|con_NEDD8_HUMAN|NEDD8_HUMAN	generic|con_NEDD8_HUMAN|NEDD8_HUMAN	generic|con_NEDD8_HUMAN|NEDD8_HUMAN		81			generic|con_NEDD8_HUMAN|NEDD8_HUMAN	0.9929	0.999	1	2	0	2	2	0	0	0	0	0	2	0	0	1.63E+07	9365221	1.36E+07	0	0	0	"tr|E9PL57|E9PL57_HUMAN, tr|E9PS38|E9PS38_HUMAN, tr|F8VSA6|F8VSA6_HUMAN, tr|S4R3E9|S4R3E9_HUMAN"
generic|con_OVAL_CHICK|OVAL_CHICK	generic|con_OVAL_CHICK|OVAL_CHICK	generic|con_OVAL_CHICK|OVAL_CHICK		386			generic|con_OVAL_CHICK|OVAL_CHICK	1	0.9986	5	9	9	9	4	2	3	4	2	3	4	2	3	6.16E+07	1.21E+08	1.82E+08	3.81E+07	6.04E+07	9.52E+07	
generic|con_PPIA_HUMAN|PPIA_HUMAN	generic|con_PPIA_HUMAN|PPIA_HUMAN	generic|con_PPIA_HUMAN|PPIA_HUMAN		164			generic|con_PPIA_HUMAN|PPIA_HUMAN	1	0.999	9	19	0	19	10	5	4	0	0	0	10	5	4	2.34E+09	2.41E+09	2.12E+09	8.86E+08	8.41E+08	8.15E+08	sp|P62937|PPIA_HUMAN
generic|con_RS27A_HUMAN|RS27A_HUMAN	generic|con_RS27A_HUMAN|RS27A_HUMAN	generic|con_RS27A_HUMAN|RS27A_HUMAN		156			generic|con_RS27A_HUMAN|RS27A_HUMAN	1	0.999	13	27	0	27	19	4	4	0	0	0	19	4	4	1.11E+09	1.36E+09	1.67E+09	4.40E+08	5.75E+08	5.15E+08	"sp|P0CG47|UBB_HUMAN, sp|P0CG48|UBC_HUMAN, sp|P62987|RL40_HUMAN, tr|B4DV12|B4DV12_HUMAN, tr|F5GXK7|F5GXK7_HUMAN, tr|F5GYU3|F5GYU3_HUMAN, tr|F5H265|F5H265_HUMAN, tr|F5H2Z3|F5H2Z3_HUMAN, tr|F5H388|F5H388_HUMAN, tr|F5H6Q2|F5H6Q2_HUMAN, tr|F5H747|F5H747_HUMAN, tr|J3QKN0|J3QKN0_HUMAN, tr|J3QS39|J3QS39_HUMAN, tr|J3QTR3|J3QTR3_HUMAN, tr|Q96C32|Q96C32_HUMAN"
generic|con_SODC_HUMAN|SODC_HUMAN	generic|con_SODC_HUMAN|SODC_HUMAN	generic|con_SODC_HUMAN|SODC_HUMAN		153			generic|con_SODC_HUMAN|SODC_HUMAN	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	1.93E+07	1.51E+07	2.60E+07	0	0	0	sp|P00441|SODC_HUMAN
generic|con_SYH_HUMAN|SYH_HUMAN	generic|con_SYH_HUMAN|SYH_HUMAN	generic|con_SYH_HUMAN|SYH_HUMAN		509			generic|con_SYH_HUMAN|SYH_HUMAN	1	0.9988	4	4	0	4	4	0	0	0	0	0	4	0	0	1.44E+07	2.54E+07	2.17E+07	7894593	1.13E+07	1.16E+07	"tr|A0A6Q8PF47|A0A6Q8PF47_HUMAN, tr|A0A6Q8PHA5|A0A6Q8PHA5_HUMAN, tr|E7ETE2|E7ETE2_HUMAN"
generic|con_THIO_HUMAN|THIO_HUMAN	generic|con_THIO_HUMAN|THIO_HUMAN	generic|con_THIO_HUMAN|THIO_HUMAN		104			generic|con_THIO_HUMAN|THIO_HUMAN	1	0.999	8	14	0	14	10	2	2	0	0	0	10	2	2	1.63E+09	2.60E+09	2.62E+09	1.25E+09	1.22E+09	1.54E+09	sp|P10599|THIO_HUMAN
generic|con_TRFE_HUMAN|TRFE_HUMAN	generic|con_TRFE_HUMAN|TRFE_HUMAN	generic|con_TRFE_HUMAN|TRFE_HUMAN		698			generic|con_TRFE_HUMAN|TRFE_HUMAN	1	0.9975	3	3	3	3	2	0	1	2	0	1	2	0	1	1.09E+07	0	1.11E+07	0	0	0	
generic|con_TRFL_HUMAN|TRFL_HUMAN	generic|con_TRFL_HUMAN|TRFL_HUMAN	generic|con_TRFL_HUMAN|TRFL_HUMAN		710			generic|con_TRFL_HUMAN|TRFL_HUMAN	1	0.999	24	49	0	49	19	11	19	0	0	0	19	11	19	6.27E+08	8.80E+08	4.22E+09	9.15E+07	1.41E+08	6.63E+08	"tr|E7EQB2|E7EQB2_HUMAN, tr|E7ER44|E7ER44_HUMAN"
generic|con_TRYP_PIG|TRYP_PIG	generic|con_TRYP_PIG|TRYP_PIG	generic|con_TRYP_PIG|TRYP_PIG		231			generic|con_TRYP_PIG|TRYP_PIG	1	0.999	9	91	91	91	46	17	28	46	17	28	46	17	28	8.21E+10	3.37E+11	2.07E+11	4.19E+10	1.14E+11	8.97E+10	
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 2D-29	0.8798	0.9808	1	1	0	1	1	0	0	0	0	0	1	0	0	4941174.5	0	7697182	0	0	0	"sp|A0A075B6S6|KVD30_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06310|KV230_HUMAN"
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	0.8649	0.9781	1	1	0	1	1	0	0	0	0	0	1	0	0	2241582.2	2487452.5	7434271	0	0	0	"sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN"
sp|A1A5D9|BICL2_HUMAN	A1A5D9	BICL2_HUMAN	BICDL2	508	Homo sapiens OX=9606	1:Experimental evidence at protein level	BICD family-like cargo adapter 2	0.9922	0.9989	1	1	0	1	1	0	0	0	0	0	1	0	0	1.06E+07	7157189.5	4489677.5	0	0	0	tr|A0A2R8Y2X6|A0A2R8Y2X6_HUMAN
sp|A1KWD5|RS9_NEIMF	A1KWD5	RS9_NEIMF	rpsI	130	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18) OX=272831	3:Protein inferred from homology	30S ribosomal protein S9	0.985	0.9978	1	1	0	1	1	0	0	0	0	0	1	0	0	3614465.8	0	1.81E+07	0	0	0	"sp|B4RQK5|RS9_NEIG2, tr|A0A0J0YUQ3|A0A0J0YUQ3_9NEIS, tr|A0A0P7L1L1|A0A0P7L1L1_9NEIS, tr|A0A0Y5LP35|A0A0Y5LP35_NEIME, tr|A0A1V0HCZ8|A0A1V0HCZ8_NEISI, tr|A0A1X3CSC0|A0A1X3CSC0_9NEIS, tr|A0A1X3D9G6|A0A1X3D9G6_9NEIS, tr|A0A1X3DFG7|A0A1X3DFG7_9NEIS, tr|A0A4D7WK08|A0A4D7WK08_NEISU, tr|A0A5J6Q264|A0A5J6Q264_9NEIS, tr|A0A7T3EUX5|A0A7T3EUX5_NEICI, tr|A0A837BXM9|A0A837BXM9_NEIMU, tr|A0A8T9M9Y6|A0A8T9M9Y6_9NEIS, tr|C6SGJ7|C6SGJ7_NEIME"
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	1.85E+07	1.17E+07	2140532.2	1.28E+07	9829513	0	tr|M0R026|M0R026_HUMAN
sp|A2RC23|RS17_STRPG	A2RC23	RS17_STRPG	rpsQ	86	Streptococcus pyogenes serotype M5 (strain Manfredo) OX=160491	3:Protein inferred from homology	30S ribosomal protein S17	0.9071	0.9855	1	1	0	1	1	0	0	0	0	0	1	0	0	8061043.5	3142883.8	6062263.5	0	0	0	"sp|Q8DS22|RS17_STRMU, tr|A0A060RLP8|A0A060RLP8_9STRE, tr|A0A0C1KEY0|A0A0C1KEY0_STRCV, tr|A0A0X8KKH5|A0A0X8KKH5_9BACL, tr|A0A133ZML1|A0A133ZML1_9BACL, tr|A0A133ZP75|A0A133ZP75_9BACL, tr|A0A1C2CYD2|A0A1C2CYD2_STREQ, tr|A0A1S0ZK19|A0A1S0ZK19_SALET, tr|A0A2J9QH40|A0A2J9QH40_STRMG, tr|A0A428DS91|A0A428DS91_STRMT, tr|A0A4N9BRK7|A0A4N9BRK7_STREE, tr|A0A4Y9HF31|A0A4Y9HF31_9BACL, tr|A0A6H1F506|A0A6H1F506_9BACL, tr|A0A7Z0LEP0|A0A7Z0LEP0_9BACL, tr|A0A8T8UD41|A0A8T8UD41_9BACL, tr|U2QNI4|U2QNI4_9BACL, tr|V6Z146|V6Z146_STRAG"
sp|A3CQM4|RS12_STRSV	A3CQM4	RS12_STRSV	rpsL	137	Streptococcus sanguinis (strain SK36) OX=388919	3:Protein inferred from homology	30S ribosomal protein S12	1	0.999	2	2	0	2	2	0	0	0	0	0	2	0	0	1.72E+07	1.39E+07	2.62E+07	1.25E+07	1.01E+07	1.66E+07	"sp|Q034X6|RS12_LACP3, sp|Q1JDK8|RS12_STRPB, sp|Q839H1|RS12_ENTFA, tr|A0A060RIB6|A0A060RIB6_9STRE, tr|A0A073JQJ1|A0A073JQJ1_LIMRT, tr|A0A075SGX8|A0A075SGX8_STRSU, tr|A0A081QKV6|A0A081QKV6_STRMT, tr|A0A087QAW5|A0A087QAW5_LACGS, tr|A0A0M9FJS0|A0A0M9FJS0_STRSU, tr|A0A0R2FEW5|A0A0R2FEW5_WEICO, tr|A0A0R2GZW6|A0A0R2GZW6_WEIVI, tr|A0A0W7V1R3|A0A0W7V1R3_9STRE, tr|A0A0Z8JNF8|A0A0Z8JNF8_STRSU, tr|A0A1S0ZBQ5|A0A1S0ZBQ5_SALET, tr|A0A1S9ARY2|A0A1S9ARY2_LIMRT, tr|A0A2W5CNF0|A0A2W5CNF0_STRPY, tr|A0A2X2YRX9|A0A2X2YRX9_STRDY, tr|A0A4M6CUJ6|A0A4M6CUJ6_STREE, tr|A0A7H8UYM9|A0A7H8UYM9_STRSA, tr|A0A7H8V4J8|A0A7H8V4J8_STRSA, tr|A0A7L5UJD5|A0A7L5UJD5_9LACO, tr|A5M4T7|A5M4T7_STREE, tr|C8NH29|C8NH29_9LACT, tr|D3H6P1|D3H6P1_STRM6, tr|E0HE97|E0HE97_ENTFL, tr|F9PAP5|F9PAP5_STRCV, tr|G2KWK0|G2KWK0_FRUST, tr|G2SQV9|G2SQV9_LIGR2"
sp|A3MZW7|RS9_ACTP2	A3MZW7	RS9_ACTP2	rpsI	131	Actinobacillus pleuropneumoniae serotype 5b (strain L20) OX=416269	3:Protein inferred from homology	30S ribosomal protein S9	0.9778	0.9968	1	1	0	1	1	0	0	0	0	0	1	0	0	7035127.5	0	5472011	0	0	0	"sp|B0BUG0|RS9_ACTPJ, sp|P44388|RS9_HAEIN, sp|Q7VLF7|RS9_HAEDU, tr|A0A011P5T2|A0A011P5T2_9PAST, tr|A0A0A3BBZ2|A0A0A3BBZ2_9PAST, tr|A0A0A7MET7|A0A0A7MET7_ACTEU, tr|A0A0H3PD21|A0A0H3PD21_HAEI3, tr|A0A0K1N3W5|A0A0K1N3W5_AGGAP, tr|A0A1A7PY89|A0A1A7PY89_9PAST, tr|A0A1B8T5X2|A0A1B8T5X2_HAEPA, tr|A0A1C2E7N0|A0A1C2E7N0_9PSED, tr|A0A1M5K3D9|A0A1M5K3D9_9PSED, tr|A0A1V3J3P0|A0A1V3J3P0_9PAST, tr|A0A1V3TIB6|A0A1V3TIB6_9PAST, tr|A0A1W1UXK8|A0A1W1UXK8_9PAST, tr|A0A248ZZ69|A0A248ZZ69_MANHA, tr|A0A263HEC9|A0A263HEC9_9PAST, tr|A0A2S9RSX5|A0A2S9RSX5_HAEIF, tr|A0A2X1RNA1|A0A2X1RNA1_HAEIF, tr|A0A336N6Q0|A0A336N6Q0_AGGAP, tr|A0A369YDV2|A0A369YDV2_9PAST, tr|A0A377J1K5|A0A377J1K5_9PAST, tr|A0A379B3N9|A0A379B3N9_9PAST, tr|A0A3N4W8G4|A0A3N4W8G4_9PAST, tr|A0A3S4VDL8|A0A3S4VDL8_HAEPA, tr|A0A3S4W816|A0A3S4W816_ACTEU, tr|A0A448TUP2|A0A448TUP2_9PAST, tr|A0A4V0IE90|A0A4V0IE90_9PAST, tr|A0A4V2SJ63|A0A4V2SJ63_9PAST, tr|A0A4V6NS74|A0A4V6NS74_9PAST, tr|A0A5C4PUY5|A0A5C4PUY5_9PAST, tr|A0A6H0T5B1|A0A6H0T5B1_9PAST, tr|A0A7D5DX94|A0A7D5DX94_9PAST, tr|A0A7H8UW14|A0A7H8UW14_9PAST, tr|A0A806DS99|A0A806DS99_HAEI6, tr|A0A8B2U4H7|A0A8B2U4H7_9PAST, tr|G4A805|G4A805_AGGAC"
sp|A3N246|EFTU_ACTP2	A3N246	EFTU_ACTP2	tuf2	394	Actinobacillus pleuropneumoniae serotype 5b (strain L20) OX=416269	3:Protein inferred from homology	Elongation factor Tu	0	0.9981	4	3	0	6	1	1	1	0	0	0	3	1	2	4.00E+07	1.24E+08	9.02E+07	0	0	0	"sp|Q7TTF9|EFTU_HAEDU, tr|A0A076V055|A0A076V055_GLAPU, tr|A0A0A7MI02|A0A0A7MI02_ACTEU, tr|A0A179CV57|A0A179CV57_BIBTR, tr|A0A1S9ZUP7|A0A1S9ZUP7_GLAPU, tr|A0A328C2J8|A0A328C2J8_9PAST, tr|A0A420XJS0|A0A420XJS0_9PAST, tr|A0A4P7CKU4|A0A4P7CKU4_9PAST, tr|A0A4V0IJ14|A0A4V0IJ14_9PAST, tr|A0A4V7IC74|A0A4V7IC74_BIBTR, tr|A0A4V7IC79|A0A4V7IC79_BIBTR, tr|A0A4Y9JMS6|A0A4Y9JMS6_9PAST, tr|A0A6G6HTU7|A0A6G6HTU7_GLAPU, tr|A0A6H0T3K4|A0A6H0T3K4_9PAST, tr|A0A6M8SWE8|A0A6M8SWE8_GLAPU, tr|A0A7H8UMQ9|A0A7H8UMQ9_9PAST, tr|A0A7Z9A8V3|A0A7Z9A8V3_PASMD, tr|A0A857EQV4|A0A857EQV4_9PAST, tr|A0A857ERW9|A0A857ERW9_9PAST, tr|A0A8A2WJ09|A0A8A2WJ09_GLAPU, tr|C9PSS2|C9PSS2_9PAST, tr|E8KKM0|E8KKM0_9PAST, tr|M4R3D3|M4R3D3_BIBTR"
